"snl_id","primary_commodity"
"66751","Graphite"
"59595","U3O8"
"32563","Gold"
"57048","Copper"
"52810","Gold"
"59073","Iron Ore"
"54583","Gold"
"55742","Chromite"
"29081","Gold"
"60107","Gold"
"82658","Bauxite"
"30645","Gold"
"40612","Iron Ore"
"27106","Copper"
"50096","Coal"
"70540","Coal"
"83273","Zinc"
"35909","Gold"
"60427","Gold"
"67513","Molybdenum"
"83243","Gold"
"57411","Gold"
"30156","Zinc"
"41842","Coal"
"41843","Coal"
"64515","Silver"
"57551","U3O8"
"37428","Gold"
"53282","Copper"
"58376","Copper"
"31770","Diamonds"
"40521","Gold"
"34567","Gold"
"54672","Copper"
"59074","Iron Ore"
"68241","Gold"
"25666","Gold"
"69687","Coal"
"70253","Coal"
"33012","Diamonds"
"35917","Gold"
"57015","Gold"
"37521","Gold"
"54282","Gold"
"41070","Gold"
"31475","Gold"
"60675","Gold"
"55576","Gold"
"56160","Gold"
"64173","Gold"
"65823","Graphite"
"67004","Graphite"
"28167","Zinc"
"61238","Gold"
"66868","Tin"
"61200","Platinum"
"33484","Gold"
"54580","Gold"
"37577","U3O8"
"61863","Gold"
"68775","Coal"
"26047","Gold"
"55141","Molybdenum"
"56109","Gold"
"56445","Coal"
"66725","Gold"
"36206","Gold"
"36565","Copper"
"66460","Copper"
"27525","Copper"
"57346","Gold"
"56867","Gold"
"29431","Gold"
"36377","Iron Ore"
"67188","Gold"
"33102","Iron Ore"
"57512","Copper"
"60858","Copper"
"41905","Coal"
"59635","U3O8"
"60200","Chromite"
"34108","Molybdenum"
"62394","Zinc"
"35058","U3O8"
"37760","Gold"
"37905","Potash"
"41810","Potash"
"69968","Coal"
"34554","Gold"
"32560","Copper"
"69352","Coal"
"30602","Zinc"
"67814","Potash"
"35163","Diamonds"
"59483","Copper"
"27372","Gold"
"26059","Gold"
"39891","Gold"
"35221","U3O8"
"49857","Copper"
"70718","Gold"
"50208","Gold"
"50329","Coal"
"37846","Iron Ore"
"64552","Phosphate"
"57902","Lead"
"36109","U3O8"
"65780","Gold"
"30552","Platinum"
"52594","Coal"
"39514","Copper"
"54330","Gold"
"58914","Copper"
"57919","Coal"
"26917","Gold"
"32520","Diamonds"
"34526","Diamonds"
"35565","Diamonds"
"29820","Gold"
"49914","Gold"
"28355","Zinc"
"29949","Gold"
"40564","Coal"
"64113","Gold"
"41513","Coal"
"56091","Copper"
"36779","Molybdenum"
"36044","Gold"
"53950","Gold"
"38251","Copper"
"75619","Gold"
"60832","Gold"
"62751","Nickel"
"70863","Gold"
"31024","Copper"
"58130","Silver"
"27790","Zinc"
"36918","Copper"
"34790","Silver"
"59044","Lead"
"60526","Copper"
"37720","Phosphate"
"70168","Coal"
"58551","Gold"
"59457","Coal"
"82958","Coal"
"58552","Gold"
"38458","Diamonds"
"39803","Copper"
"35006","Iron Ore"
"34068","Gold"
"41166","Coal"
"55741","Copper"
"55735","Ilmenite"
"35528","Diamonds"
"30288","Gold"
"36398","U3O8"
"37203","Lead"
"59076","Iron Ore"
"57402","Copper"
"24857","Copper"
"54886","Gold"
"59982","Coal"
"68631","Coal"
"55855","U3O8"
"31748","Diamonds"
"61079","Gold"
"54379","Gold"
"60449","Iron Ore"
"54710","Gold"
"55703","Gold"
"35021","U3O8"
"50177","U3O8"
"37616","Gold"
"62367","Gold"
"50225","Copper"
"68364","Iron Ore"
"27467","Copper"
"58553","Gold"
"65091","Gold"
"32737","Iron Ore"
"59141","Iron Ore"
"59148","Iron Ore"
"59205","Iron Ore"
"59294","Iron Ore"
"59298","Iron Ore"
"82034","Iron Ore"
"25702","Copper"
"67283","Manganese"
"55398","Copper"
"79144","Copper"
"53632","Gold"
"30214","Gold"
"70032","Iron Ore"
"66865","Silver"
"34263","Gold"
"50209","Copper"
"69561","Coal"
"69564","Coal"
"41633","Coal"
"64202","Gold"
"28766","Copper"
"30325","Copper"
"67954","Copper"
"27115","Copper"
"31570","Gold"
"64200","Gold"
"50393","Coal"
"56865","Gold"
"67623","Graphite"
"36915","Copper"
"30781","Gold"
"30071","Copper"
"67388","Gold"
"35780","Copper"
"33056","Copper"
"36483","Copper"
"58412","Silver"
"37992","Coal"
"56436","Gold"
"60256","Zinc"
"63575","Gold"
"78866","Gold"
"26505","Gold"
"57270","Gold"
"54159","Gold"
"56202","Silver"
"53120","Gold"
"38122","Gold"
"36166","Molybdenum"
"50622","Coal"
"30478","Copper"
"32984","Gold"
"55678","Iron Ore"
"56860","Gold"
"40983","Gold"
"37530","Copper"
"54569","Copper"
"59557","Gold"
"70722","Antimony"
"29920","Gold"
"41364","Coal"
"26754","Gold"
"59671","Silver"
"60733","Gold"
"27783","Gold"
"31208","Gold"
"70426","Gold"
"84440","Copper"
"27397","Gold"
"59042","Silver"
"56177","Gold"
"54567","Copper"
"33443","Gold"
"31379","Gold"
"60731","Iron Ore"
"26121","Gold"
"40691","Coal"
"32400","Copper"
"53612","Copper"
"49543","Coal"
"69224","Coal"
"69990","Coal"
"38582","Gold"
"35531","Diamonds"
"67450","Graphite"
"55995","Gold"
"30340","Copper"
"38119","Gold"
"24437","Gold"
"57318","Silver"
"30990","Gold"
"29038","Gold"
"53273","Gold"
"55318","Silver"
"27312","Copper"
"63704","Coal"
"69830","Coal"
"82086","Iron Ore"
"40131","Gold"
"59077","Iron Ore"
"38448","Coal"
"69491","Coal"
"51097","Gold"
"55540","Silver"
"80361","Zinc"
"37195","Gold"
"68055","Coal"
"40228","Iron Ore"
"50680","Gold"
"70035","Iron Ore"
"61276","Gold"
"62569","Gold"
"63755","Iron Ore"
"68140","Iron Ore"
"66211","Gold"
"39677","Coal"
"30100","Gold"
"61960","Silver"
"36537","U3O8"
"66054","Copper"
"36055","Gold"
"36994","Copper"
"68813","Coal"
"68815","Coal"
"68814","Coal"
"68821","Coal"
"68816","Coal"
"34847","U3O8"
"80468","Gold"
"66919","Gold"
"30914","Gold"
"57552","Gold"
"64177","Gold"
"56006","Gold"
"63917","Copper"
"26704","Gold"
"61857","Gold"
"68931","Coal"
"29076","Gold"
"35727","Iron Ore"
"83727","Gold"
"32524","Gold"
"28577","Copper"
"31255","Copper"
"54270","Coal"
"63769","Coal"
"35854","U3O8"
"58266","Coal"
"68767","Coal"
"68768","Coal"
"63206","Gold"
"30250","Gold"
"31073","Diamonds"
"28688","Gold"
"34489","Gold"
"56265","Gold"
"61241","Gold"
"56979","Gold"
"39684","Coal"
"37904","Phosphate"
"40201","Gold"
"35110","Iron Ore"
"37016","Copper"
"49521","Zinc"
"39927","Molybdenum"
"39929","Copper"
"25759","Gold"
"77441","Lithium"
"33452","Gold"
"56078","U3O8"
"36734","Gold"
"50476","Coal"
"57634","Gold"
"38477","Gold"
"41429","Gold"
"51328","Coal"
"54420","Tantalum"
"34150","Nickel"
"36147","Nickel"
"28472","Gold"
"26757","Gold"
"63952","Copper"
"34903","U3O8"
"28493","Gold"
"37525","Gold"
"63798","Gold"
"60188","Coal"
"30526","Copper"
"64508","Gold"
"70858","Phosphate"
"67355","Tin"
"33157","Copper"
"28647","Gold"
"32904","Gold"
"56145","Molybdenum"
"36593","Zinc"
"59415","Gold"
"30851","Niobium"
"40426","Phosphate"
"41623","Phosphate"
"64977","Gold"
"83076","Coal"
"36976","Copper"
"59916","Gold"
"35607","Gold"
"39125","Coal"
"53169","Gold"
"57829","Gold"
"77458","Lithium"
"26345","Gold"
"65682","Gold"
"27544","Silver"
"53687","Platinum"
"54248","Coal"
"41290","Coal"
"52546","Lanthanides"
"57328","Gold"
"38849","Coal"
"41412","Coal"
"36580","Coal"
"39123","Coal"
"75770","Gold"
"80175","Zinc"
"27626","Tin"
"38027","U3O8"
"64189","Copper"
"78458","Phosphate"
"33293","Diamonds"
"66632","Copper"
"67158","Copper"
"67159","Copper"
"67160","Copper"
"67161","Copper"
"67162","Copper"
"67163","Copper"
"36321","Copper"
"31824","Iron Ore"
"31120","Diamonds"
"35422","Zinc"
"54358","Silver"
"28410","Gold"
"63618","Gold"
"30141","Zinc"
"30188","Gold"
"67015","U3O8"
"33183","Gold"
"79481","Copper"
"65040","Copper"
"40815","Phosphate"
"60086","Coal"
"56120","Silver"
"24832","Silver"
"57201","U3O8"
"29655","Gold"
"59390","Gold"
"56688","Copper"
"35543","Tin"
"26300","Gold"
"26498","Gold"
"52800","Gold"
"60977","Gold"
"30698","Gold"
"38730","Niobium"
"32053","Gold"
"25290","Gold"
"31203","Diamonds"
"65347","Nickel"
"33200","Diamonds"
"33618","Diamonds"
"40760","Lead"
"59309","Iron Ore"
"25734","Gold"
"25375","Gold"
"64455","Copper"
"57109","Gold"
"40583","Coal"
"41748","Coal"
"63714","Gold"
"40673","Copper"
"79231","Copper"
"29814","Zinc"
"39401","Gold"
"34570","Gold"
"29885","Gold"
"60483","Lithium"
"37785","Gold"
"63716","Gold"
"67798","Copper"
"54746","U3O8"
"59745","U3O8"
"56901","U3O8"
"34751","U3O8"
"35100","U3O8"
"57924","U3O8"
"57164","Copper"
"30805","Zinc"
"39930","Bauxite"
"55842","Coal"
"29611","Gold"
"34558","Gold"
"50348","Coal"
"31172","Silver"
"59628","Gold"
"30869","Gold"
"54385","Gold"
"31213","Copper"
"59971","U3O8"
"25829","Gold"
"36203","Nickel"
"30519","Gold"
"32059","Nickel"
"70102","Coal"
"33239","Diamonds"
"76406","Phosphate"
"26880","Gold"
"32815","Diamonds"
"61016","Manganese"
"32980","Diamonds"
"35532","Zinc"
"51284","U3O8"
"70338","Bauxite"
"65490","Gold"
"38529","Coal"
"76817","Coal"
"26250","Gold"
"34485","Diamonds"
"54711","Gold"
"41014","Coal"
"53993","Zinc"
"27120","Gold"
"70360","Graphite"
"29459","Tantalum"
"63463","Gold"
"40757","Lanthanides"
"61560","Gold"
"41047","Coal"
