fid,country_name,country_isoa3,hcluster_id
26556,China,CHN,00000000000000008141
26557,Canada,CAN,00000000000000006809
26558,Canada,CAN,00000000000000006660
26559,Canada,CAN,00000000000000006660
26560,Canada,CAN,00000000000000004158
26561,Canada,CAN,00000000000000006195
26562,Canada,CAN,00000000000000006195
26563,Canada,CAN,00000000000000006195
26564,Canada,CAN,00000000000000006195
26565,Canada,CAN,00000000000000006195
26566,Canada,CAN,00000000000000006195
26567,Canada,CAN,00000000000000006195
26568,Canada,CAN,00000000000000006195
26569,Canada,CAN,00000000000000006195
26570,Canada,CAN,00000000000000006195
26571,Canada,CAN,00000000000000006195
26572,Canada,CAN,00000000000000006195
26573,Canada,CAN,00000000000000006195
26574,Canada,CAN,00000000000000006195
26575,Canada,CAN,00000000000000006195
26576,Canada,CAN,00000000000000006195
26577,Canada,CAN,00000000000000006195
26578,Canada,CAN,00000000000000006195
26579,Canada,CAN,00000000000000006195
26580,Canada,CAN,00000000000000006195
26581,Canada,CAN,00000000000000006195
26582,Canada,CAN,00000000000000006195
26583,Canada,CAN,00000000000000006195
26584,Canada,CAN,00000000000000006195
26585,Canada,CAN,00000000000000006195
26586,Canada,CAN,00000000000000006195
26587,Canada,CAN,00000000000000006195
26588,Canada,CAN,00000000000000006195
26589,Canada,CAN,00000000000000006195
26590,Canada,CAN,00000000000000006195
26591,Canada,CAN,00000000000000004752
26592,Canada,CAN,00000000000000004324
26593,Chile,CHL,00000000000000007035
26594,Chile,CHL,00000000000000007035
26595,Chile,CHL,00000000000000007035
26596,Chile,CHL,00000000000000006980
26597,Chile,CHL,00000000000000006980
26598,Canada,CAN,00000000000000006730
26599,Canada,CAN,00000000000000006730
26600,Canada,CAN,00000000000000006730
26601,Canada,CAN,00000000000000006730
26602,Canada,CAN,00000000000000006730
26603,Canada,CAN,00000000000000006730
26604,Canada,CAN,00000000000000006730
26605,Canada,CAN,00000000000000006730
26606,Canada,CAN,00000000000000006730
26607,Canada,CAN,00000000000000006730
26608,China,CHN,00000000000000008267
26609,China,CHN,00000000000000008267
26610,China,CHN,00000000000000008267
26611,Chad,TCD,00000000000000015220
26612,Chad,TCD,00000000000000015220
26613,China,CHN,00000000000000008551
26614,China,CHN,00000000000000008551
26615,China,CHN,00000000000000008551
26616,China,CHN,00000000000000007642
26617,China,CHN,00000000000000007642
26618,China,CHN,00000000000000007154
26619,China,CHN,00000000000000007154
26620,China,CHN,00000000000000007154
26621,China,CHN,00000000000000007154
26622,China,CHN,00000000000000007154
26623,China,CHN,00000000000000007154
26624,China,CHN,00000000000000008477
26625,China,CHN,00000000000000008477
26626,China,CHN,00000000000000008477
26627,China,CHN,00000000000000008477
26628,Chile,CHL,00000000000000006986
26629,China,CHN,00000000000000008107
26630,China,CHN,00000000000000008107
26631,China,CHN,00000000000000008107
26632,China,CHN,00000000000000008107
26633,China,CHN,00000000000000007659
26634,China,CHN,00000000000000007659
26635,China,CHN,00000000000000007702
26636,Canada,CAN,00000000000000004677
26637,China,CHN,00000000000000007672
26638,China,CHN,00000000000000007672
26639,Chile,CHL,00000000000000007070
26640,Chile,CHL,00000000000000007070
26641,Chile,CHL,00000000000000007070
26642,China,CHN,00000000000000007170
26643,China,CHN,00000000000000007170
26644,China,CHN,00000000000000007170
26645,China,CHN,00000000000000007170
26646,China,CHN,00000000000000007170
26647,China,CHN,00000000000000007170
26648,China,CHN,00000000000000007170
26649,China,CHN,00000000000000007170
26650,China,CHN,00000000000000007170
26651,China,CHN,00000000000000007170
26652,China,CHN,00000000000000007642
26653,China,CHN,00000000000000007718
26654,China,CHN,00000000000000007196
26655,China,CHN,00000000000000007196
26656,China,CHN,00000000000000008552
26657,China,CHN,00000000000000008552
26658,China,CHN,00000000000000008552
26659,China,CHN,00000000000000008552
26660,China,CHN,00000000000000007371
26661,China,CHN,00000000000000007190
